south	male	union	hisp	black	income01	tpid
0	0	0	0	1	.0740741	0
0	0	0	0	1	.4814815	0
0	1	0	0	0	.4444444	2
0	0	0	0	1	0	0
0	1	1	0	1	.2880513	0
0	0	0	0	1	.4814815	0
0	0	0	0	1	.5185185	0
0	0	1	0	1	.4444444	0
0	0	1	0	1	.3703704	0
0	0	0	0	1	.2962963	0
0	1	1	0	1	.2962963	0
0	1	0	0	1	.2962963	0
0	0	0	0	1	.7777778	0
0	1	0	0	0	1	0
0	0	0	0	1	0	0
0	1	0	0	1	0	0
0	0	1	0	1	.6666667	0
0	0	1	0	1	.2222222	0
0	0	0	0	1	.4814815	1
0	0	0	0	1	.1661722	0
0	1	0	0	1	.389821	0
0	0	0	0	0	.4596896	0
0	0	0	0	1	.4444444	0
0	0	1	0	1	.6666667	0
0	1	0	0	1	.270298	0
0	0	0	0	1	.5504802	0
1	0	0	0	1	.3405729	0
1	0	0	0	1	.5433789	0
1	1	0	0	0	.1481481	0
1	0	0	0	1	.037037	0
1	0	0	0	1	.1413175	1
1	0	0	0	1	.3441236	0
0	0	1	1	0	.8148148	0
0	0	0	1	0	.2592593	1
0	0	0	1	0	.4444444	1
0	1	0	1	0	.4074074	2
0	1	1	1	0	.3703704	2
0	0	1	1	0	.2962963	0
0	0	1	1	0	.2533467	0
0	1	1	1	0	.2805575	0
0	0	0	1	0	0	0
0	0	0	1	0	.7777778	0
0	1	0	1	0	.0740741	0
0	1	0	1	0	.037037	1
0	1	0	1	0	.2962963	0
0	0	0	1	0	.5185185	0
0	1	0	1	0	.2841081	0
0	1	0	1	0	.037037	1
0	0	0	1	0	.4444444	2
0	0	0	1	0	.4074074	0
0	1	0	1	0	.962963	0
0	0	0	1	0	.3196698	0
0	0	1	1	0	.7777778	0
0	0	0	1	0	.3703704	0
0	0	0	1	0	.1481481	0
0	1	1	0	1	.4814815	0
0	0	0	0	1	.5611322	0
0	1	0	0	1	.28095	1
0	1	1	0	1	.291602	0
0	0	0	0	1	.1768242	0
0	1	1	0	1	.3969223	0
0	0	0	0	1	.2800025	0
0	1	1	0	1	.398866	0
0	0	1	0	1	.2962963	0
0	0	0	0	1	.1481481	0
0	1	1	1	0	.6296296	0
0	1	1	1	0	.3370775	2
0	0	0	0	1	.1481481	0
0	1	1	0	1	.2962963	0
0	0	0	0	0	.2222222	0
0	1	0	0	1	.0740741	0
0	0	0	0	1	.6296296	0
0	0	1	0	0	.5555556	0
1	0	0	1	0	.4814815	1
1	1	1	1	0	.8518519	0
1	0	0	1	0	.7037037	1
1	1	0	1	0	.4074074	0
1	0	0	1	0	.8148148	0
1	0	0	1	0	.0740741	0
0	1	0	1	0	.0740741	2
0	1	0	1	0	.2222222	1
0	1	1	1	0	.3333333	0
0	1	0	1	0	.6666667	2
0	1	0	1	0	.5185185	0
0	1	1	1	0	.5925926	0
0	0	0	1	0	.2592593	0
0	0	0	0	0	.3703704	0
0	0	0	1	0	.4074074	2
0	1	0	1	0	.7777778	0
0	1	0	1	0	.2450509	2
0	1	0	1	0	.3335268	0
0	0	0	0	0	.7777778	1
0	1	1	1	0	.2962963	2
0	0	0	1	0	.1851852	1
0	1	0	0	0	.3703704	1
0	0	0	1	0	.5185185	2
0	1	0	0	0	.4444444	2
0	1	0	1	0	.4814815	0
0	0	0	1	0	.2222222	1
0	0	0	1	0	.4074074	0
0	0	0	1	0	.3905079	0
0	1	0	1	0	.4074074	0
0	1	0	1	0	.2222222	1
0	1	0	1	0	.3333333	0
0	0	0	1	0	.037037	0
0	0	0	1	0	.4814815	0
0	0	0	1	0	.3333333	0
0	1	0	1	0	.3512801	1
0	0	0	1	0	.4444444	2
0	1	0	1	0	.0740741	0
0	0	0	1	0	.6296296	0
0	1	1	0	1	.4074074	0
0	1	0	1	0	0	0
0	1	0	1	0	.0740741	0
0	0	0	1	0	.2962963	0
0	0	1	0	1	.3703704	0
0	0	0	1	0	.2222222	0
0	0	0	1	0	.3940586	0
0	0	0	1	0	.2962963	0
0	0	0	1	0	.1481481	1
0	1	0	1	0	.2592535	0
0	0	1	1	0	.4074074	0
0	0	1	0	0	.8148148	0
0	0	1	0	0	.4916456	0
0	0	0	0	0	.1851852	0
0	1	1	0	0	.6666667	0
0	0	1	0	0	1	0
0	0	0	1	0	.2962963	2
0	0	0	0	0	.037037	0
0	0	0	0	0	.6666667	2
0	1	0	0	0	.5089377	1
0	0	0	1	0	.0740741	2
0	0	0	1	0	.3112753	0
0	1	1	0	0	.7407407	0
0	0	1	1	0	.8148148	0
0	0	0	0	0	1	2
0	0	0	0	0	1	0
0	1	0	0	0	.8148148	2
0	0	0	1	0	.7407407	0
0	0	1	1	0	.962963	0
0	1	1	0	0	.9259259	2
0	0	0	0	0	.3703704	0
0	0	0	0	0	.962963	2
0	0	0	0	0	.7049699	0
0	1	1	0	0	.7407407	2
0	1	0	0	0	.6666667	0
0	0	1	0	0	0	1
0	0	0	0	0	.4074074	0
0	0	1	0	1	.3703704	0
0	0	0	0	1	.0740741	0
0	1	0	0	0	.6296296	2
0	0	0	1	0	.1851852	0
0	1	0	1	0	.7407407	2
0	0	0	1	0	.2962963	0
0	1	0	1	0	.4074074	0
0	1	0	1	0	.962963	0
0	1	0	0	0	.8148148	0
0	0	0	1	0	1	0
0	0	0	1	0	.2962963	2
0	1	0	0	0	.8148148	0
0	1	1	1	0	.8148148	0
0	1	0	0	0	.0740741	0
0	0	0	0	0	.8148148	2
0	1	0	0	1	0	0
0	1	0	0	0	.5555556	1
0	1	0	0	0	0	1
0	0	1	1	0	.5555556	0
0	0	0	0	0	.5925926	2
0	1	0	1	0	.8148148	0
0	1	0	0	0	.2984307	0
0	0	1	1	0	.5925926	0
0	1	0	0	0	0	0
0	1	0	1	0	.2962963	2
0	1	1	0	0	.4074074	0
0	0	1	0	0	.7037037	0
0	0	0	1	0	.5185185	0
0	1	0	1	0	0	0
0	1	0	1	0	.5925926	0
0	1	0	1	0	.3370775	0
0	0	0	1	0	.3703704	2
0	1	1	1	0	.4814815	0
0	1	0	1	0	.4074074	2
0	0	0	1	0	.2222222	2
0	0	1	1	0	.7037037	0
