income	ideo	ruling	age	male	black	hisp	soph	sclaw	college
13	4	1	56	1	0	0	9	2	0
9	3	1	65	0	0	0	3	4	0
9	4	1	27	0	0	0	2	2	0
6	3	1	61	1	0	1	10	1	0
15	5	1	32	1	0	0	6	1	0
11	4	1	43	1	0	1	10	1	0
15	5	0	46	1	0	0	5	1	0
15	4	1	45	1	0	0	4	1	0
12	4	1	69	1	1	0	10	1	1
3	4	1	44	1	0	0	9	1	1
10	4	0	33	0	0	1	5	2	0
8	4	1	80	0	0	0	8	1	0
10	5	1	26	0	0	0	6	1	0
6	4	1	62	1	0	0	10	1	1
15	4	1	49	1	0	0	10	3	0
15	4	1	74	0	0	0	3	1	0
12	4	1	37	0	0	0	10	2	1
8	3	1	75	0	0	0	6	4	0
14	4	1	51	1	0	1	9	5	1
4	4	1	73	0	0	0	5	1	0
11	4	1	45	1	0	0	5	2	1
2	4	1	53	1	0	0	6	4	0
8	3	1	48	0	0	0	6	1	0
15	4	1	57	1	0	0	7	1	1
13	3	1	49	0	0	0	8	1	0
15	4	1	33	1	0	0	10	3	1
11	4	1	30	1	0	1	9	1	1
12	5	1	58	0	0	0	10	1	1
13	4	1	61	1	0	0	9	2	0
6	5	1	81	0	0	0	8	2	0
8	3	1	77	1	0	0	9	1	0
9	4	1	67	1	0	0	7	5	0
5	3	1	54	1	0	0	6	1	0
4	4	1	52	1	0	0	9	1	0
8	4	0	29	1	0	0	9	5	0
10	3	1	24	1	0	0	9	3	0
9	3	1	47	0	1	0	6	1	0
11	4	1	31	1	0	0	10	2	1
12	3	1	47	0	0	1	7	3	0
7	5	1	47	1	0	0	8	2	0
7	4	1	77	0	0	0	10	1	0
4	3	0	43	1	0	0	8	2	0
10	4	1	53	1	0	1	9	1	0
10	5	1	28	1	0	0	7	2	0
11	3	1	45	1	0	0	6	3	0
7	4	1	39	1	0	0	6	3	0
5	4	1	71	1	0	0	10	3	0
9	4	1	52	0	0	0	9	2	1
2	4	1	38	1	0	0	10	1	0
14	4	1	51	0	0	0	10	2	1
1	4	1	51	1	0	0	9	1	0
6	3	1	29	1	0	0	1	2	0
1	5	1	51	1	0	0	4	3	0
5	4	0	45	1	0	0	6	5	0
7	4	1	52	0	0	0	10	2	0
8	4	0	34	0	0	0	4	5	0
11	3	1	48	0	0	0	7	2	0
8	5	1	40	1	0	0	10	1	1
6	4	1	84	1	0	0	7	1	1
9	3	0	43	0	0	0	5	2	1
7	5	1	23	0	0	0	8	2	0
3	4	0	53	0	0	0	4	3	0
7	5	1	48	1	0	0	9	1	0
11	3	1	38	1	0	0	7	1	0
15	4	1	68	1	0	0	7	4	0
7	4	1	20	0	0	0	7	1	0
13	4	1	57	0	0	0	4	5	0
10	3	1	57	1	0	0	10	5	1
12	4	1	35	0	0	0	5	2	1
7	4	1	65	0	0	0	5	1	0
15	4	1	63	1	0	0	10	1	1
4	5	1	46	0	0	0	5	1	0
11	4	1	73	1	0	0	10	2	1
5	4	1	63	0	0	0	6	3	0
4	4	1	30	0	0	0	6	5	0
9	4	1	57	0	0	0	10	2	0
9	4	1	75	1	0	0	6	1	0
15	4	1	50	0	0	0	8	3	1
4	3	1	53	0	0	0	4	1	0
10	4	1	86	1	0	0	10	5	1
5	3	0	36	1	0	0	5	1	0
8	3	1	52	0	0	0	4	2	0
6	4	1	67	1	0	0	10	1	0
15	5	1	64	0	0	0	9	2	1
12	4	0	48	1	0	0	9	1	0
12	4	1	54	1	0	0	7	5	0
8	5	1	22	1	0	0	9	1	0
5	4	1	44	0	0	0	3	1	0
14	5	0	35	0	0	0	5	5	1
3	4	1	72	0	0	0	5	1	0
10	4	0	56	0	0	0	3	3	0
5	5	0	46	0	0	0	7	1	0
13	4	1	45	1	0	0	10	4	0
10	2	1	46	1	0	0	7	5	0
14	5	0	39	1	0	0	6	2	1
6	3	1	56	0	0	0	7	1	1
14	5	1	46	0	0	0	10	1	1
15	4	1	80	1	0	0	9	1	0
8	4	0	62	1	0	0	4	5	0
1	5	1	41	1	0	0	3	5	0
12	4	1	45	1	0	0	7	1	0
11	4	1	59	0	0	0	10	1	0
7	4	1	56	0	0	0	4	4	0
13	4	1	56	1	0	0	9	1	1
5	3	1	28	1	0	0	5	3	1
10	5	1	45	0	0	0	4	2	1
15	4	0	29	1	0	0	10	2	0
15	4	1	25	0	0	0	10	1	1
8	4	1	56	0	0	0	10	5	0
2	5	1	69	0	0	0	5	5	0
13	3	1	59	1	0	0	10	1	1
14	5	0	22	0	0	1	4	3	0
1	4	0	81	0	0	0	5	2	0
11	3	1	48	1	0	0	10	2	1
2	4	1	20	0	0	0	5	3	1
7	4	1	56	1	0	0	10	4	0
13	3	1	64	1	0	1	10	1	1
12	5	1	47	1	0	0	10	1	1
1	3	1	68	0	0	0	9	2	0
10	4	1	47	0	0	0	4	3	0
6	4	1	68	1	0	0	9	4	0
5	4	0	57	0	0	0	4	1	0
5	5	1	33	1	0	0	7	1	0
2	4	0	45	0	0	0	7	2	0
10	4	1	68	1	0	0	10	1	1
10	4	1	50	0	0	0	7	2	1
10	4	1	54	1	0	0	9	5	0
3	3	1	73	0	0	0	10	2	0
15	4	0	80	0	0	0	6	3	0
15	3	1	84	0	0	0	10	1	1
14	4	1	47	1	0	0	8	1	0
12	4	1	56	1	0	0	10	2	1
7	4	1	50	1	0	0	9	1	0
12	4	1	36	1	0	0	8	3	1
6	2	0	51	1	0	0	1	1	0
10	5	1	59	1	0	0	10	1	1
2	4	1	24	0	0	0	6	3	0
15	4	0	51	0	0	0	4	1	0
15	4	1	57	0	0	1	8	5	1
4	4	1	52	1	0	0	9	1	0
9	4	1	50	1	0	0	10	1	0
7	4	0	52	0	0	0	4	2	0
15	3	0	52	0	0	0	3	3	0
8	5	1	38	1	0	0	7	1	1
6	3	1	43	0	0	0	3	2	0
7	3	1	68	1	0	0	7	5	0
14	5	1	22	1	0	0	6	1	1
7	4	1	68	0	0	0	10	1	0
2	4	1	47	1	0	0	4	1	0
11	3	1	53	0	1	0	8	4	0
6	4	0	62	0	0	0	4	1	0
6	4	1	77	1	0	0	10	1	0
6	5	0	45	0	0	0	5	2	0
8	3	0	46	0	0	0	8	1	1
6	1	0	34	1	0	0	8	1	0
13	4	1	50	1	0	0	10	1	0
10	3	1	66	0	0	0	8	1	0
9	5	1	73	1	0	0	10	1	0
2	4	1	64	1	0	0	10	2	0
15	3	1	51	1	0	0	10	1	0
10	5	1	38	1	0	0	7	4	1
5	5	1	56	1	0	0	10	1	0
14	5	0	49	1	0	0	7	2	0
4	2	0	20	0	0	0	3	4	0
9	4	1	29	1	0	0	9	1	1
15	3	1	64	0	0	0	9	2	0
15	3	1	54	1	0	0	8	2	0
15	5	1	41	0	0	0	6	5	1
11	4	1	75	1	0	0	10	1	1
6	4	0	46	0	0	0	1	5	0
15	5	0	80	0	0	0	5	1	0
15	3	1	24	1	0	0	10	1	1
14	3	1	50	1	0	0	7	1	1
7	5	1	52	0	0	0	8	5	0
9	3	0	47	0	0	0	3	2	0
3	3	1	22	0	0	0	9	3	0
15	4	1	80	0	0	0	4	1	1
15	4	1	54	1	0	0	10	5	1
1	1	1	22	1	0	1	6	2	0
3	5	1	66	0	0	0	7	1	0
15	3	1	48	1	0	0	9	1	1
10	3	1	77	1	0	0	9	2	1
9	4	1	54	0	0	0	8	2	0
8	4	1	38	1	0	0	5	1	1
11	4	1	56	1	0	1	10	1	1
