countyid	pmccain	medinc	pcollege	punemp	passist	pblack	phisp	ginicnty	logodds
2097	.563	43935	.0491937	.0845466	.0345329	.0476462	.0179182	.4002	.2533465
2098	.479	34942	.0484529	.1056815	.0217328	.0166707	.0171504	.445	-.0840494
2099	.504	41810	.0643205	.0966976	.0240052	.0277748	.0140227	.4051	.0160004
2100	.485	32846	.0350404	.1306354	.0169851	.0073907	.0142596	.4493	-.060018
2101	.706	38015	.053445	.1088149	.0186162	.0261552	.0305959	.4427	.8760353
2102	.607	47277	.1424144	.0597379	.0373724	.0897553	.0328469	.4761	.4347191
2103	.66	35737	.0512827	.1076679	.0305803	.0164451	.0170702	.4266	.6632943
2104	.61	32337	.0471573	.1763409	.0491944	.0141721	.0255263	.4387	.4473123
2105	.703	41454	.0681406	.0752452	.0234622	.0697415	.0259454	.4343	.8616248
2106	.713	50458	.1127945	.1012619	.0129469	.0080553	.0655064	.4624	.9099992
2107	.691	38604	.0680139	.0948383	.0199019	.0399778	.0282275	.4377	.8047985
2108	.685	34953	.0572488	.1473788	.0321169	.0620002	.0148723	.4825	.7768462
2109	.699	34747	.0297468	.1064302	.0439775	.0040235	.0381555	.462	.8425405
2110	.531	40667	.1000543	.1189046	.0389632	.3576584	.0332525	.4952	.1241593
2111	.59	39857	.0660183	.0887103	.0204513	.0150848	.0128487	.439	.3639653
2112	.598	41620	.0551963	.1067929	.0342495	.0558891	.0454635	.425	.3971386
2113	.601	46552	.0738616	.0780799	.0191758	.1282662	.047894	.4208	.4096336
2114	.66	34942	.0377326	.1627287	.0404649	.0139782	.0132064	.4314	.6632943
2115	.685	35096	.04131	.1209972	.0224879	.019754	.0329759	.4416	.7768462
2116	.533	49695	.0925645	.0973264	.0225033	.188575	.077652	.4111	.1321921
2117	.681	45950	.0521904	.1084592	.0053652	.0180294	.007275	.4322	.7583712
2118	.691	37130	.0289044	.0814607	.0168979	.0256469	.0084878	.4254	.8047985
2119	.663	39671	.0546909	.0850479	.0161023	.1024161	.0312206	.4486	.676692
2120	.556	34108	.0431176	.0761579	.0254331	.0096627	.0050137	.4415	.2249437
2121	.532	31857	.0464641	.1438963	.020679	.0268062	.0104672	.4232	.1281752
2122	.669	31157	.048881	.0607157	.0170455	.0037299	.003141	.4693	.7036658
2123	.656	36204	.0474313	.1311085	.0357694	.0026882	.0126045	.4202	.6455192
2124	.626	34305	.0890099	.0805964	.0209291	.0229346	.0522781	.4826	.5150945
2125	.724	36934	.0504058	.1426388	.0309649	.0229838	.0354426	.4234	.9643904
2126	.673	43129	.0770651	.0901362	.0301465	.0247221	.0140504	.4427	.7217851
