age	male	unemp	black	hisp	educ2	educ3	educ4	educ5	educ6	income	union	pid	south	inctax	follow	agesq
24	1	1	0	0	0	0	0	1	0	2	0	5	1	17	0	576
48	1	0	0	0	0	1	0	0	0	7	0	4	1	10	3	2304
55	0	0	0	0	0	1	0	0	0	10	0	7	1	50	2	3025
51	0	1	0	0	0	0	0	0	0	6	0	5	1	31	2	2601
55	1	0	0	0	0	0	0	0	1	13	0	4	1	75	3	3025
74	0	0	0	0	0	0	0	1	0	7	0	7	1	51	3	5476
74	1	0	0	0	0	0	0	1	0	11	0	1	1	51	3	5476
61	0	0	0	0	0	1	0	0	0	11	0	2	1	21	3	3721
78	1	0	0	0	0	0	0	1	0	14	0	7	1	7	3	6084
29	0	0	0	0	1	0	0	0	0	9	0	2	1	27	0	841
46	1	0	1	0	0	0	0	0	1	9	0	3	1	50	2	2116
43	1	0	1	0	0	1	0	0	0	6	0	1	1	20	2	1849
48	0	0	0	0	0	0	0	1	0	14	0	7	1	51	3	2304
76	0	0	0	0	0	1	0	0	0	7	0	1	1	76	2	5776
24	1	0	0	0	0	0	0	1	0	12	0	5	1	50	3	576
38	1	0	0	0	0	0	0	0	1	14	0	5	1	50	3	1444
61	1	0	1	0	0	0	0	1	0	8	0	7	1	13	3	3721
47	0	0	1	0	0	0	0	1	0	4	0	1	1	50	2	2209
78	1	0	0	0	0	0	0	1	0	9	0	6	1	69	3	6084
59	1	0	0	0	0	0	0	0	1	10	0	5	1	26	0	3481
40	1	0	0	0	0	0	0	0	1	14	0	4	1	28	3	1600
75	1	0	0	0	0	0	0	0	1	12	0	4	1	91	3	5625
36	0	0	0	0	0	0	0	1	0	9	0	7	1	18	3	1296
47	1	0	0	0	0	0	0	0	1	12	0	5	1	76	3	2209
57	1	0	0	0	0	1	0	0	0	13	0	6	1	50	3	3249
73	1	0	0	0	0	0	0	1	0	8	0	5	1	52	3	5329
56	0	0	0	0	0	1	0	0	0	11	0	4	1	47	3	3136
47	1	0	0	0	0	0	0	1	0	13	0	7	1	30	3	2209
47	1	0	0	0	0	1	0	0	0	11	0	7	1	59	3	2209
36	0	0	1	0	0	0	0	0	1	8	0	6	1	67	1	1296
22	0	0	0	0	0	1	0	0	0	4	0	7	1	16	1	484
47	1	0	0	0	0	0	1	0	0	13	0	5	1	51	3	2209
27	0	0	1	0	0	1	0	0	0	1	0	2	1	51	0	729
36	0	0	0	0	0	1	0	0	0	8	0	4	1	39	2	1296
60	1	0	0	0	0	0	0	0	1	11	0	6	1	50	3	3600
70	0	0	0	0	0	1	0	0	0	6	0	4	1	50	3	4900
63	0	0	0	0	1	0	0	0	0	5	0	2	1	5	2	3969
55	1	0	0	0	0	0	1	0	0	5	0	5	1	25	2	3025
52	1	0	0	0	0	1	0	0	0	8	0	7	1	47	2	2704
53	1	0	0	0	0	0	0	1	0	5	0	1	1	10	3	2809
51	1	0	0	0	1	0	0	0	0	8	0	1	1	3	3	2601
30	0	0	0	0	1	0	0	0	0	1	0	4	1	51	1	900
41	0	0	1	0	1	0	0	0	0	6	0	1	1	31	2	1681
47	0	0	1	0	1	0	0	0	0	4	0	1	1	68	3	2209
58	1	1	1	0	0	1	0	0	0	14	0	1	1	26	2	3364
74	1	0	0	0	1	0	0	0	0	7	0	5	1	51	3	5476
43	0	0	0	0	0	1	0	0	0	6	0	4	1	29	3	1849
53	0	0	1	0	0	1	0	0	0	10	0	1	1	51	3	2809
61	0	0	0	0	0	1	0	0	0	9	0	3	1	50	3	3721
56	1	0	0	0	0	0	0	0	1	13	0	7	1	25	2	3136
59	1	0	0	0	0	0	0	0	1	13	0	1	1	85	3	3481
63	1	0	0	0	1	0	0	0	0	9	0	7	1	13	3	3969
57	1	0	0	0	0	1	0	0	0	11	0	1	1	91	3	3249
38	0	0	1	0	0	0	0	1	0	2	1	2	1	43	2	1444
72	1	0	0	0	0	1	0	0	0	6	0	7	1	50	3	5184
60	1	0	0	0	0	0	0	1	0	9	0	4	1	50	3	3600
47	0	0	0	0	0	0	1	0	0	12	0	5	1	26	3	2209
51	0	0	0	0	0	0	0	1	0	14	0	7	1	4	2	2601
53	1	0	1	0	0	0	0	1	0	6	0	1	1	47	2	2809
66	1	0	1	0	0	0	0	1	0	9	0	3	1	13	3	4356
46	0	0	0	0	1	0	0	0	0	7	0	1	1	70	2	2116
51	1	0	0	0	0	0	0	1	0	8	0	5	1	88	3	2601
47	1	0	0	0	0	0	0	0	1	14	0	4	1	1	3	2209
64	0	0	0	0	0	1	0	0	0	8	0	6	1	25	3	4096
40	0	0	0	0	1	0	0	0	0	4	0	4	1	51	2	1600
62	0	0	0	0	1	0	0	0	0	6	0	5	1	7	3	3844
26	0	0	0	0	0	0	0	1	0	7	0	6	1	51	1	676
72	1	0	0	0	0	0	0	0	1	6	0	1	1	75	3	5184
18	0	0	1	0	1	0	0	0	0	1	0	1	1	43	3	324
26	0	0	0	0	0	0	0	1	0	7	0	6	1	32	1	676
57	1	0	0	0	0	1	0	0	0	10	0	5	1	0	3	3249
24	0	0	1	0	0	1	0	0	0	5	0	4	1	50	2	576
60	0	0	0	0	0	0	0	0	1	12	1	1	1	98	3	3600
60	0	0	0	0	0	1	0	0	0	10	0	7	1	1	3	3600
71	0	0	0	0	0	1	0	0	0	7	0	7	1	38	3	5041
81	1	0	0	0	0	0	0	1	0	12	0	7	1	84	3	6561
28	0	0	0	0	0	0	1	0	0	2	0	7	1	45	1	784
46	1	0	0	0	0	0	0	1	0	10	0	5	1	13	3	2116
43	0	0	0	0	0	0	0	1	0	10	0	7	1	8	3	1849
38	0	0	1	0	0	0	0	1	0	11	0	2	1	41	2	1444
60	1	0	0	0	0	1	0	0	0	4	0	7	1	51	2	3600
55	0	0	0	0	0	0	0	1	0	8	0	6	1	51	3	3025
68	0	1	1	0	0	0	0	0	0	2	0	4	1	83	0	4624
24	0	0	1	0	0	0	0	1	0	6	0	2	1	51	2	576
73	1	0	0	0	0	0	0	0	1	14	0	7	1	1	3	5329
38	0	0	1	0	0	1	0	0	0	4	0	4	1	19	1	1444
35	0	0	1	0	0	0	0	1	0	8	0	1	1	58	3	1225
55	1	0	0	0	0	1	0	0	0	9	0	5	1	50	3	3025
58	1	0	0	0	1	0	0	0	0	10	0	7	1	76	3	3364
57	0	0	0	0	1	0	0	0	0	6	0	7	1	0	3	3249
67	0	0	0	0	1	0	0	0	0	12	0	7	1	54	3	4489
83	1	0	0	0	1	0	0	0	0	10	0	5	1	51	3	6889
48	0	0	1	0	0	0	0	0	1	6	0	1	1	49	3	2304
44	0	0	1	0	0	0	0	0	1	6	0	1	1	51	2	1936
67	0	0	0	0	1	0	0	0	0	4	0	5	1	77	3	4489
55	0	0	0	0	0	0	0	0	1	8	0	1	1	51	3	3025
61	1	0	1	0	0	1	0	0	0	3	0	1	1	38	2	3721
42	0	0	0	0	0	0	0	1	0	12	0	7	1	13	3	1764
54	0	0	0	0	0	0	0	0	1	9	0	2	1	16	2	2916
46	1	0	0	0	0	0	0	1	0	13	0	7	1	3	3	2116
80	1	0	0	0	0	0	0	1	0	8	0	7	1	36	3	6400
47	1	0	0	0	0	0	1	0	0	12	0	7	1	75	3	2209
34	1	0	0	0	0	0	1	0	0	4	0	4	1	98	2	1156
53	0	0	0	0	1	0	0	0	0	6	0	6	1	51	2	2809
51	1	0	0	0	0	0	0	1	0	4	0	5	1	3	3	2601
39	0	0	0	1	0	1	0	0	0	6	0	5	1	20	3	1521
42	1	0	0	0	0	0	0	1	0	5	0	5	1	51	3	1764
68	1	0	0	0	0	0	0	1	0	12	0	6	1	26	3	4624
44	1	0	0	0	0	0	0	1	0	11	0	6	1	32	3	1936
36	0	0	0	0	0	1	0	0	0	4	0	7	1	52	3	1296
54	1	0	0	0	0	1	0	0	0	8	0	6	1	48	3	2916
34	0	0	0	0	1	0	0	0	0	1	0	5	1	60	1	1156
33	1	0	0	0	0	1	0	0	0	3	0	3	1	50	3	1089
53	0	0	0	0	0	0	0	0	0	8	0	1	1	35	3	2809
65	1	0	0	0	1	0	0	0	0	7	0	4	1	10	3	4225
40	0	0	0	0	0	1	0	0	0	1	0	4	1	51	3	1600
19	0	0	0	0	0	1	0	0	0	9	0	7	1	0	3	361
38	1	0	0	0	0	0	0	0	1	8	0	3	1	34	2	1444
57	0	0	1	0	0	0	1	0	0	1	0	1	1	51	3	3249
49	1	0	0	0	0	0	0	0	1	13	0	6	1	50	3	2401
56	0	0	0	0	1	0	0	0	0	11	0	7	1	19	3	3136
58	0	0	1	0	0	1	0	0	0	10	0	1	1	24	3	3364
40	0	0	0	0	0	0	0	0	1	10	0	3	1	51	2	1600
63	1	0	0	0	0	0	0	1	0	11	0	5	1	25	3	3969
62	1	0	0	0	0	0	0	0	1	13	0	5	1	51	3	3844
65	1	1	0	0	0	0	0	1	0	12	0	6	1	99	3	4225
54	1	0	0	0	0	1	0	0	0	14	0	7	1	2	3	2916
56	0	0	0	0	0	1	0	0	0	11	0	6	1	50	2	3136
63	0	0	0	0	0	1	0	0	0	7	0	7	1	91	3	3969
67	0	0	0	0	0	1	0	0	0	10	0	7	1	26	3	4489
41	1	0	0	0	0	0	1	0	0	11	0	4	1	50	2	1681
70	1	0	0	0	0	1	0	0	0	11	0	6	1	19	3	4900
65	0	0	0	0	0	0	0	1	0	14	0	7	1	15	3	4225
57	1	0	0	0	0	0	0	1	0	13	0	4	1	42	3	3249
56	0	0	0	0	0	0	0	1	0	12	0	6	1	26	3	3136
33	0	0	0	0	0	0	0	1	0	12	0	5	1	42	2	1089
